"Brand","Brand_Style","ABV","Calories","Fat_grams","Calories_from_fat","Saturated_fat_grams","Trans_fat_grams","Cholesterol_mg","Sodium_mg","Carbs_mg","Fiber_grams","Sugars_grams","Protein_grams","Ingredients","Ingr_Water","Ingr_Barley Malt","Ingr_Yeast","Ingr_Hops","Ingr_Rice","Ingr_Sugar","Ingr_Ingredient list to come.","Ingr_Corn Syrup (Dextrose)","Ingr_Wheat","Ingr_Hop Extract","Ingr_Oats","Ingr_Orange Peel","Ingr_Coriander","Ingr_Corn Syrup (Maltose)","Ingr_Cocoa","Ingr_Decaffeinated Coffee","Ingr_Sucrose","Ingr_Pumpkin","Ingr_Spices","Ingr_Honey","Ingr_Orange peel","Ingr_Wheat Malt","Ingr_Tangerine Peel","Ingr_Natural Flavors","Ingr_Mango","Ingr_Natural Flavor","Ingr_Apricot","Ingr_Cardamom","Ingr_Lactic Acid","Ingr_Cinnamon","Ingr_Ginger","Ingr_Mace","Ingr_Carbonated water","Ingr_alcohol from real cane sugar","Ingr_real cane sugar","Ingr_lime juice concentrate","Ingr_natural flavor","Ingr_fruit juice (color)","Ingr_lemon juice concentrate","Ingr_agave","Ingr_apple","Ingr_Apricots and Beet Sugar With House Cultures","Ingr_Beet Sugar","Ingr_Montmorency and Bing Cherries and Beet Sugar with House Cultures","Ingr_Palisade Peaches and Beet Sugar with House Cultures","Ingr_Duarte Plums and Beet Sugar with House Cultures","Ingr_Raw Wheat","Ingr_Corn Syrup (Dextrose and Maltose)","Ingr_Hops & Hop Extract","Ingr_Fresh-Pressed Hard Pear Cider","Ingr_Filtered Water","Ingr_Juice Concentrates as Finishing Sweeteners (Pear","Ingr_Apple","Ingr_Elderberry","Ingr_Blackberry)","Ingr_Malic Acids","Ingr_Raspberry Juice Concentrate(Finishing Sweetener)","Ingr_Contains Sulfites","Ingr_Hard Apple Cider","Ingr_Malic Acid","Ingr_Sulfites","Ingr_Apple Juice Concentrate (Finishing Sweetener)","Ingr_Organic Honey","Ingr_Hard Pear Cider","Ingr_Pear and Apple Juice Concentrates (Finishing Sweeteners)","Ingr_Pear Juice Concentrate (Finishing Sweetener)","Ingr_Organic Maple Syrup","Ingr_Malted Barley","Ingr_Maize","Ingr_Caramel Color","Ingr_Corn Syrup ( Dextrose Maltose)","Ingr_Corn Syrup(Maltose)","Ingr_Cane Sugar","Ingr_Phosphoric Acid","Ingr_Sodium Benzoate and Potassium Sorbate (added for freshness)","Ingr_Citric Acid","Ingr_Certified Colors","Ingr_Sodium Citrate and Natural Flavor","Ingr_Sodium Citrate and Natural Flavors","Ingr_Dextrose","Ingr_Mango Puree","Ingr_Vanilla Beans","Ingr_Vanilla Extract","Ingr_Blackberry Juice","Ingr_Rye","Ingr_Cherry Juice Concentrate","Ingr_White Cranberry  Juice Concentrate","Ingr_Corn","Ingr_Barley","Ingr_Vanilla","Ingr_Corn Syrup (Dextrose","Ingr_Maltose)","Ingr_BarleyMalt","Ingr_Hops and Hop Extract","Ingr_Malted Wheat","Ingr_Carbonated Water","Ingr_Red Wine","Ingr_White Grape Juice Concentrate","Ingr_Natural Flavors. Contains Sulfites.","Ingr_White Wine","Ingr_Peach Juice Concentrate","Ingr_Rose Wine","Ingr_Strawberry Juice Concentrate. Contains Sulfites.","Ingr_Italian Maize","Ingr_Hop Products","Ingr_Corn Syrup","Ingr_Grape Juice (for color)","Ingr_Sodium Benzoate and Potassium Sorbate (Added For Freshness)","Ingr_Elderberry Juice (for color)","Ingr_Sodium Benzoate and Potassium Sorbate(added for freshness)","Ingr_Tartaric Acid","Ingr_Sodium Citrate","Ingr_Fresh","Ingr_Frozen Tangerine Peel","Ingr_Flaked Maize","Ingr_Cumin","Ingr_Lime Peel","Ingr_Agave","Ingr_Lemon Peel","Ingr_Malt","Ingr_Lactobacillus","Ingr_Blackberry Puree","Ingr_Blackberry Juice Concentrate","Ingr_Salt","Ingr_Corn Syrup (Dextrose -not High-Fructose Corn Syrup)","Ingr_Peach Puree","Ingr_Raspberry Puree","Ingr_Passionfruit Puree","Ingr_","Ingr_Sucrose Syrup","Ingr_Apple Juice Concentrate","Ingr_Tomato Paste","Ingr_Inverted Sugar","Ingr_Yeast Extract","Ingr_Black Carrot (for color)","Ingr_Monosodium Glutamate","Ingr_Salt and Natural Flavors.","Ingr_Certified Color","Ingr_FD&C Yellow Number 5","Ingr_Natural &Artificial Flavors","Ingr_Natural & Artificial Flavors","Ingr_NaturalFlavors","Ingr_FD&C Yellow# 5","Ingr_Artificial Flavor","Ingr_FD&C Yellow #5","Ingr_Lactose","Ingr_Blueberry Concentrate","Ingr_Torrified Wheat","Ingr_Sea Salt","Ingr_Grapefruit Peel","Ingr_Flaked Corn","Ingr_Flaked Rye","Ingr_Hemp Flavor","Ingr_Hemp Seeds","Ingr_Cocoa Nibs","Ingr_Chocolate Extract","Ingr_Pineapple","Ingr_Papaya Extract","Ingr_Flaked Oats","Ingr_Peach Flavor","Ingr_Peach Concentrate","Ingr_Prickly Pear Flavor","Ingr_Coffee","Ingr_TorrifiedWheat","Ingr_Watermelon Concentrate","Ingr_Sparkling Water","Ingr_Sodium Citrate and Dried Acerola Cherry Juice","Ingr_Pomegranate Juice Concentrate","Ingr_Kiwi Juice Concentrate","Ingr_Citric acid","Ingr_Natural flavor"
"Aguila","International Pale Lager",3.9,126,0,0,0,0,0,10,13.7,0,2,1,"Water, Barley Malt, Yeast, Hops, Rice, Sugar",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arnold Palmer Spiked Half & Half","Flavored Malt Beverage",5,206,0,0,0,0,0,5,28.3,0,26,1,"Ingredient list to come.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barmen","German-Style Pilsner",5,156,0,0,0,0,0,20,12.9,0,0,1.9,"Water, Barley Malt, Yeast, Hops",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Batch 19","Pre-Prohibition Style Lager",5.5,174,0,0,0,0,0,15,15,0,0,1.6,"Water, Barley Malt, Corn Syrup (Dextrose), Hops, Yeast",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blue Moon Belgian White","Belgian-Style Wheat Ale",5.4,168,0,0,0,0,0,10,14.1,0,0,1.9,"Water, Barley Malt, Wheat, Yeast, Hop Extract, Oats, Orange Peel, Coriander",1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blue Moon Cappuccino Oatmeal Stout","Oatmeal Stout",5.9,196,0,0,0,0,0,10,18.8,0,1,1.8,"Water, Barley Malt,Oats, Corn Syrup (Maltose), Cocoa, Hops, Yeast, Decaffeinated Coffee, Sucrose",1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blue Moon Harvest Pumpkin Wheat","Herb & Spice Beer",5.7,180,0,0,0,0,0,10,15.5,0,1,2,"Water, Barley Malt, Wheat, Yeast, Hops, Sucrose, Pumpkin, Spices",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blue Moon Honey Wheat","American Wheat Beer",5.2,153,0,0,0,0,0,10,11.7,0,3,1.4,"Water, Barley Malt, Wheat, Corn Syrup (Dextrose), Yeast, Hops, Honey, Orange peel",1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blue Moon Iced Coffee Blonde","Blonde Ale",5.4,185,0,0,0,0,0,10,17.2,0,5,3,"Water, Barley Malt, Wheat, Oats, Corn Syrup (Maltose), Decaffeinated Coffee, Hops, Honey, Yeast",1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blue Moon LightSky","Ale with Tangerine Peel",4,95,0,0,0,0,0,5,3.6,0,0,1.1,"Water, Barley Malt, Wheat Malt, Corn Syrup (Dextrose), Tangerine Peel, Hops, Yeast, Natural Flavors",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blue Moon Mango Wheat","Fruit Beer",5.4,175,0,0,0,0,0,10,15.7,0,2,2.1,"Water, Barley Malt, Wheat, Mango, Yeast, Hops, Honey, Natural Flavor",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blue Moon Pacific Apricot Wheat","Fruit Beer",5.6,178,0,0,0,0,0,10,16.4,0,1,1.2,"Water, Barley Malt, Wheat, Apricot, Yeast, Hops, Cardamom, Hop Extract, Lactic Acid",1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
