Brand,Brand_Style,Neighbor_Rk,Neighbor_Idx,Neighbor_Dist
Aguila,International Pale Lager,1,1,0
Aguila,International Pale Lager,2,77,14.955961335722405
Aguila,International Pale Lager,3,75,15.609371358468172
Aguila,International Pale Lager,4,82,16.009576715925682
Aguila,International Pale Lager,5,211,16.708331541561844
Aguila,International Pale Lager,6,178,16.71830894452822
Arnold Palmer Spiked Half & Half,Flavored Malt Beverage,1,2,0
Arnold Palmer Spiked Half & Half,Flavored Malt Beverage,2,32,5.603860747055596
Arnold Palmer Spiked Half & Half,Flavored Malt Beverage,3,18,12.41710334269975
Arnold Palmer Spiked Half & Half,Flavored Malt Beverage,4,202,12.442155283703435
Arnold Palmer Spiked Half & Half,Flavored Malt Beverage,5,170,12.456839044176943
Arnold Palmer Spiked Half & Half,Flavored Malt Beverage,6,174,12.483858523451586
Barmen,German-Style Pilsner,1,3,0
Barmen,German-Style Pilsner,2,26,0.20647352260774715
Barmen,German-Style Pilsner,3,24,0.26953920159766137
Barmen,German-Style Pilsner,4,67,0.312614025983176
Barmen,German-Style Pilsner,5,20,0.4198805282520397
Barmen,German-Style Pilsner,6,71,0.5087714944141624
Batch 19,Pre-Prohibition Style Lager,1,4,0
Batch 19,Pre-Prohibition Style Lager,2,174,2.386413854406733
Batch 19,Pre-Prohibition Style Lager,3,18,2.4215279612017864
Batch 19,Pre-Prohibition Style Lager,4,202,2.4300322686194624
Batch 19,Pre-Prohibition Style Lager,5,67,2.434608903951266
Batch 19,Pre-Prohibition Style Lager,6,170,2.4481437986240655
Blue Moon Belgian White,Belgian-Style Wheat Ale,1,5,0
Blue Moon Belgian White,Belgian-Style Wheat Ale,2,169,10.177661164555259
Blue Moon Belgian White,Belgian-Style Wheat Ale,3,158,10.2587079511948
Blue Moon Belgian White,Belgian-Style Wheat Ale,4,81,10.588950568806617
Blue Moon Belgian White,Belgian-Style Wheat Ale,5,76,10.817589091869603
Blue Moon Belgian White,Belgian-Style Wheat Ale,6,198,10.846022236028436
Blue Moon Cappuccino Oatmeal Stout,Oatmeal Stout,1,6,0
Blue Moon Cappuccino Oatmeal Stout,Oatmeal Stout,2,9,15.993538699190644
Blue Moon Cappuccino Oatmeal Stout,Oatmeal Stout,3,81,18.72772553010175
Blue Moon Cappuccino Oatmeal Stout,Oatmeal Stout,4,169,18.86219420131375
Blue Moon Cappuccino Oatmeal Stout,Oatmeal Stout,5,109,18.87100432337622
Blue Moon Cappuccino Oatmeal Stout,Oatmeal Stout,6,86,18.872291368624232
Blue Moon Harvest Pumpkin Wheat,Herb & Spice Beer,1,7,0
Blue Moon Harvest Pumpkin Wheat,Herb & Spice Beer,2,156,17.49929009579546
Blue Moon Harvest Pumpkin Wheat,Herb & Spice Beer,3,76,18.487336775813016
Blue Moon Harvest Pumpkin Wheat,Herb & Spice Beer,4,197,18.49014785699987
Blue Moon Harvest Pumpkin Wheat,Herb & Spice Beer,5,208,18.50167768701332
Blue Moon Harvest Pumpkin Wheat,Herb & Spice Beer,6,198,18.5139830815406
Blue Moon Honey Wheat,American Wheat Beer,1,8,0
Blue Moon Honey Wheat,American Wheat Beer,2,100,15.333762216339636
Blue Moon Honey Wheat,American Wheat Beer,3,101,15.477254717833642
Blue Moon Honey Wheat,American Wheat Beer,4,198,15.607085383729606
Blue Moon Honey Wheat,American Wheat Beer,5,163,15.609269947861922
Blue Moon Honey Wheat,American Wheat Beer,6,200,15.617977571828758
Blue Moon Iced Coffee Blonde,Blonde Ale,1,9,0
Blue Moon Iced Coffee Blonde,Blonde Ale,2,100,11.52532367425877
Blue Moon Iced Coffee Blonde,Blonde Ale,3,158,11.785066043984143
Blue Moon Iced Coffee Blonde,Blonde Ale,4,169,11.860200239259896
Blue Moon Iced Coffee Blonde,Blonde Ale,5,114,11.866651979490188
Blue Moon Iced Coffee Blonde,Blonde Ale,6,81,11.921496269939562
Blue Moon LightSky,Ale with Tangerine Peel,1,10,0
Blue Moon LightSky,Ale with Tangerine Peel,2,4,16.314483393365347
Blue Moon LightSky,Ale with Tangerine Peel,3,101,16.339811660495084
Blue Moon LightSky,Ale with Tangerine Peel,4,125,16.36053838236278
Blue Moon LightSky,Ale with Tangerine Peel,5,211,16.39227039959596
Blue Moon LightSky,Ale with Tangerine Peel,6,214,16.39264981323061
Blue Moon Mango Wheat,Fruit Beer,1,11,0
Blue Moon Mango Wheat,Fruit Beer,2,100,15.524870370202613
Blue Moon Mango Wheat,Fruit Beer,3,113,15.691967455383066
Blue Moon Mango Wheat,Fruit Beer,4,98,15.695853815699552
Blue Moon Mango Wheat,Fruit Beer,5,76,15.757778507275818
Blue Moon Mango Wheat,Fruit Beer,6,197,15.766316374859118
Blue Moon Pacific Apricot Wheat,Fruit Beer,1,12,0
Blue Moon Pacific Apricot Wheat,Fruit Beer,2,198,22.890253553660354
Blue Moon Pacific Apricot Wheat,Fruit Beer,3,163,22.89548640371365
Blue Moon Pacific Apricot Wheat,Fruit Beer,4,76,22.90270758408362
Blue Moon Pacific Apricot Wheat,Fruit Beer,5,166,22.905964143390243
Blue Moon Pacific Apricot Wheat,Fruit Beer,6,197,22.912046328593995
Blue Moon Winter Wheat,Spiced Abbey Ale,1,13,0
Blue Moon Winter Wheat,Spiced Abbey Ale,2,5,26.714693396397315
Blue Moon Winter Wheat,Spiced Abbey Ale,3,169,26.92029782006961
Blue Moon Winter Wheat,Spiced Abbey Ale,4,158,26.924796056864185
Blue Moon Winter Wheat,Spiced Abbey Ale,5,81,27.004995022281655
Blue Moon Winter Wheat,Spiced Abbey Ale,6,197,27.157476123473053
Cape Line Blackberry Mojito,Sparkling Cocktail,1,14,0
Cape Line Blackberry Mojito,Sparkling Cocktail,2,15,14.934921063361703
Cape Line Blackberry Mojito,Sparkling Cocktail,3,16,18.26210681861612
Cape Line Blackberry Mojito,Sparkling Cocktail,4,211,22.00556767831138
Cape Line Blackberry Mojito,Sparkling Cocktail,5,178,22.01315244315332
Cape Line Blackberry Mojito,Sparkling Cocktail,6,170,22.013769975906744
Cape Line Hard Strawberry Lemonade,Sparkling Cocktail,1,15,0
Cape Line Hard Strawberry Lemonade,Sparkling Cocktail,2,14,14.934921063361703
Cape Line Hard Strawberry Lemonade,Sparkling Cocktail,3,17,18.29625619660882
Cape Line Hard Strawberry Lemonade,Sparkling Cocktail,4,211,22.008717182880158
Cape Line Hard Strawberry Lemonade,Sparkling Cocktail,5,170,22.013174382200155
Cape Line Hard Strawberry Lemonade,Sparkling Cocktail,6,178,22.01481073158706
Cape Line Margarita,Sparkling Cocktail,1,16,0
Cape Line Margarita,Sparkling Cocktail,2,14,18.26210681861612
Cape Line Margarita,Sparkling Cocktail,3,15,23.591447870433697
Cape Line Margarita,Sparkling Cocktail,4,211,24.38730127320768
Cape Line Margarita,Sparkling Cocktail,5,178,24.39414550729256
Cape Line Margarita,Sparkling Cocktail,6,170,24.394702767149838
Cape Line White Peach Sangria,Sparkling Cocktail,1,17,0
Cape Line White Peach Sangria,Sparkling Cocktail,2,15,18.29625619660882
Cape Line White Peach Sangria,Sparkling Cocktail,3,14,23.609607087090225
Cape Line White Peach Sangria,Sparkling Cocktail,4,211,24.4039777334716
Cape Line White Peach Sangria,Sparkling Cocktail,5,214,24.41089470930337
Cape Line White Peach Sangria,Sparkling Cocktail,6,178,24.414204101310354
Colorado Native Amber Lager,American Amber Lager,1,18,0
Colorado Native Amber Lager,American Amber Lager,2,170,0.3403030286992035
Colorado Native Amber Lager,American Amber Lager,3,174,0.36214435894749675
Colorado Native Amber Lager,American Amber Lager,4,178,0.5384542061671539
Colorado Native Amber Lager,American Amber Lager,5,67,0.7811463942483086
Colorado Native Amber Lager,American Amber Lager,6,211,0.8136683602257991
Colorado Native Apricot,Fruited Barrel-Aged Sour,1,19,0
Colorado Native Apricot,Fruited Barrel-Aged Sour,2,18,15.842432816231376
Colorado Native Apricot,Fruited Barrel-Aged Sour,3,174,15.843149838125589
Colorado Native Apricot,Fruited Barrel-Aged Sour,4,170,15.851330138850129
Colorado Native Apricot,Fruited Barrel-Aged Sour,5,178,15.853802153882661
Colorado Native Apricot,Fruited Barrel-Aged Sour,6,214,15.855875021941385
Colorado Native Golden Lager,American Amber Lager,1,20,0
Colorado Native Golden Lager,American Amber Lager,2,26,0.41361005248325083
Colorado Native Golden Lager,American Amber Lager,3,3,0.4198805282520397
Colorado Native Golden Lager,American Amber Lager,4,24,0.4959712415671308
Colorado Native Golden Lager,American Amber Lager,5,67,0.5698120728908515
Colorado Native Golden Lager,American Amber Lager,6,71,0.7226485006871941
Colorado Native Imperial Porter,Imperial Porter,1,21,0
Colorado Native Imperial Porter,Imperial Porter,2,23,5.830554064420868
Colorado Native Imperial Porter,Imperial Porter,3,68,11.914240248786895
Colorado Native Imperial Porter,Imperial Porter,4,165,11.971846035380967
